waypoint1	waypoint2	distance_m	duration_s
Alphabet City Beer Co., Avenue C, New York, NY	Bridge and Tunnel Brewery, Decatur Street, Queens, NY	9845	2057
Alphabet City Beer Co., Avenue C, New York, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	8505	1837
Transmitter Brewing, Queens, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	19083	4040
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Big Alice Brewing, 43rd Road, NY	31354	5018
LIC Beer Project, Queens, NY	The Flagship Brewing Company, Minthorne Street, Staten Island, NY	51450	7323
Big Alice Brewing, 43rd Road, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	8586	1848
Brooklyn Brewery, North 11th Street, New York, NY	Rockaway Brewing Company, Queens, NY	28764	4588
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Threes Brewing, Douglass Street, New York, NY	10809	2492
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Big Alice Brewing, 43rd Road, NY	11002	2577
Transmitter Brewing, Queens, NY	Threes Brewing, Douglass Street, New York, NY	21343	4298
Transmitter Brewing, Queens, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	21295	4483
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	SingleCut Beersmiths, 37th Street, Queens, NY	14497	3966
Brooklyn Brewery, North 11th Street, New York, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	9824	2078
Threes Brewing, Douglass Street, New York, NY	Rockaway Brewing Company, Queens, NY	31742	4890
Alphabet City Beer Co., Avenue C, New York, NY	Transmitter Brewing, Queens, NY	26418	4510
Brooklyn Brewery, North 11th Street, New York, NY	Bridge and Tunnel Brewery, Decatur Street, Queens, NY	7033	1598
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	11403	3241
Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	Rockaway Brewing Company, Queens, NY	19083	4040
LIC Beer Project, Queens, NY	Big Alice Brewing, 43rd Road, NY	18192	3320
Brooklyn Brewery, North 11th Street, New York, NY	SingleCut Beersmiths, 37th Street, Queens, NY	8063	2697
LIC Beer Project, Queens, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	21295	4423
Alphabet City Beer Co., Avenue C, New York, NY	Threes Brewing, Douglass Street, New York, NY	6355	2623
Transmitter Brewing, Queens, NY	Rockaway Brewing Company, Queens, NY	0	0
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	14214	3246
