,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
369,370,434216600.0,,73000000,"['Jeff Goldblum', 'Julianne Moore', 'Vince Vaughn']",Steven Spielberg,David Koepp,,John Williams,Jurassic Park,The Lost World: Jurassic Park,229086679.0,,1997-05-23 00:00:00,129.0,PG-13,Sci-Fi
370,371,278479700.0,,93000000,"['Sam Neill', 'William H. Macy', 'Tea Leoni', 'Laura Dern']",Joe Johnston,Alexander Payne,,,Jurassic Park,Jurassic Park III,181171875.0,,2001-07-18 00:00:00,92.0,PG-13,Sci-Fi
372,373,18554700.0,,,,,,,,The Karate Kid,The Next Karate Kid,8914777.0,,1994-08-12 00:00:00,104.0,PG,Sports
373,374,,,81000000,"['Sofia Boutella', 'Colin Firth', 'Samuel L. Jackson', 'Michael Caine', 'Taron Egerton', 'Mark Strong', 'Sophie Cookson', 'Mark Hamill']",Matthew Vaughn,,Matthew Vaughn,Henry Jackman,Kingsman Franchise,Kingsman: The Secret Service,128261724.0,,2015-02-13 00:00:00,129.0,R,Action
375,376,261041900.0,,130000000,"['Jack Black (Voice)', 'Dustin Hoffman (Voice)', 'Angelina Jolie (Voice)', 'Ian McShane (Voice)', 'Jackie Chan (Voice)', 'Seth Rogen (Voice)', 'Lucy Liu (Voice)', 'David Cross (Voice)', 'Dan Fogler* (Voice)', 'Michael Clarke Duncan* (Voice)']",,,,,Kung Fu Panda,Kung Fu Panda,215434591.0,,2008-06-06 00:00:00,91.0,PG,Animation
376,377,178534600.0,,150000000,"['Jack Black (Voice)', 'Angelina Jolie (Voice)', 'Dustin Hoffman (Voice)', 'Jackie Chan (Voice)', 'Seth Rogen (Voice)', 'Lucy Liu (Voice)', 'David Cross (Voice)', 'Gary Oldman (Voice)', 'Michelle Yeoh (Voice)', 'Jean-Claude Van Damme (Voice)']",Jennifer Yuh Nelson,,,,Kung Fu Panda,Kung Fu Panda 2,165249063.0,,2011-05-26 00:00:00,91.0,PG,Animation
378,379,281142800.0,,60000000,"['Anthony Daniels* (Voice)', 'Keegan-Michael Key', 'Chris Pratt (Voice)', 'Will Arnett (Voice)', 'Elizabeth Banks (Voice)', 'Channing Tatum (Voice)', 'Will Ferrell (Voice)', 'Liam Neeson (Voice)', 'Jonah Hill (Voice)', 'Charlie Day (Voice)', 'Alison Brie (Voice)', 'Morgan Freeman (Voice)', 'Nick Offerman (Voice)', 'Cobie Smulders (Voice)']",,,,Mark Mothersbaugh,LEGO,The LEGO Movie,257760692.0,,2014-02-07 00:00:00,100.0,PG,Animation
382,383,322697700.0,,,"['Mel Gibson', 'Danny Glover']",Richard Donner,Shane Black,Joel Silver,Michael Kamen,Lethal Weapon,Lethal Weapon 2,147253986.0,,1989-07-07 00:00:00,113.0,R,Action
383,384,303413100.0,,35000000,"['Mel Gibson', 'Danny Glover', 'Rene Russo']",Richard Donner,Robert Mark Kamen,Joel Silver,Michael Kamen,Lethal Weapon,Lethal Weapon 3,144731527.0,,1992-05-15 00:00:00,118.0,R,Action
384,385,241976100.0,,140000000,"['Mel Gibson', 'Danny Glover', 'Rene Russo', 'Chris Rock', 'Jet Li']",Richard Donner,Alfred Gough & Miles Millar* (Story),,Michael Kamen,Lethal Weapon,Lethal Weapon 4,130444603.0,,1998-07-10 00:00:00,127.0,R,Action
385,386,145090000.0,,,"['Mel Gibson', 'Danny Glover']",Richard Donner,Shane Black,Joel Silver,Michael Kamen,Lethal Weapon,Lethal Weapon,65207127.0,,1987-03-06 00:00:00,110.0,R,Action
386,387,303130100.0,,,"['John Travolta', 'Bruce Willis (Voice)']",Amy Heckerling,,,David Kitay,Look Who's Talking,Look Who's Talking,140088813.0,,1989-10-13 00:00:00,93.0,PG-13,Family
387,388,98567700.0,,,"['John Travolta', 'Bruce Willis (Voice)', 'Damon Wayans* (Voice)']",Amy Heckerling,,,David Kitay,Look Who's Talking,Look Who's Talking Too,47789074.0,,1990-12-14 00:00:00,96.0,PG-13,Comedy
388,389,21729500.0,,,"['John Travolta', 'Kirstie Alley', 'Danny DeVito (Voice)', 'Diane Keaton (Voice)', 'Olympia Dukakis']",Tom Ropelewski,Leslie Dixon,Leslie Dixon (executive),William Ross,Look Who's Talking,Look Who's Talking Now,10340263.0,,1993-11-05 00:00:00,95.0,PG-13,Family
389,390,535381800.0,536265400.0,94000000,"['Andy Serkis', 'Ian McKellen', 'Elijah Wood', 'Viggo Mortensen', 'Liv Tyler', 'Sean Astin', 'Orlando Bloom', 'Ian Holm', 'Cate Blanchett', 'Karl Urban', 'Sean Bean*']",Peter Jackson,Philippa Boyens,,Howard Shore,Middle Earth,The Lord of the Rings: The Return of the King,377027325.0,377845905.0,2003-12-17 00:00:00,200.0,PG-13,Fantasy
390,391,498503600.0,502210000.0,94000000,"['Ian McKellen', 'Elijah Wood', 'Viggo Mortensen', 'Liv Tyler', 'Sean Astin', 'Orlando Bloom', 'Andy Serkis', 'Karl Urban', 'Cate Blanchett*']",Peter Jackson,,,Howard Shore,Middle Earth,The Lord of the Rings: The Two Towers,339789881.0,342551365.0,2002-12-18 00:00:00,179.0,PG-13,Fantasy
391,392,473886800.0,476753700.0,93000000,"['Andy Serkis* (Cameo)', 'Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Cate Blanchett', 'Liv Tyler', 'Ian Holm', 'Christopher Lee', 'Sean Astin', 'Sean Bean', 'Orlando Bloom', 'Hugo Weaving']",Peter Jackson,,,Howard Shore,Middle Earth,The Lord of the Rings: The Fellowship of the Ring,313364114.0,315544750.0,2001-12-19 00:00:00,178.0,PG-13,Fantasy
392,393,113291200.0,,,,,,,,The Lord of the Rings,The Lord of the Rings,30471420.0,,1978-11-15 00:00:00,132.0,PG,Animation
393,394,157506300.0,,150000000,"['Riley Keough', 'Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Rosie Huntington-Whiteley']",George Miller,,George Miller,,Mad Max,Mad Max: Fury Road,153636354.0,,2015-05-15 00:00:00,120.0,R,Sci-Fi
394,395,88789500.0,,,,George Miller,George Miller,George Miller,,Mad Max,Mad Max Beyond Thunderdome,36230219.0,,1985-07-12 00:00:00,107.0,PG-13,Sci-Fi
395,396,70037700.0,,,,George Miller,George Miller,,,Mad Max,The Road Warrior,23667907.0,,1982-05-21 00:00:00,96.0,R,Sci-Fi
396,397,28299300.0,,,,George Miller,George Miller,,,Mad Max,Mad Max,8750000.0,,1980-03-21 00:00:00,94.0,R,Sci-Fi
397,398,234088000.0,,145000000,"['Ben Stiller (Voice)', 'Chris Rock (Voice)', 'David Schwimmer (Voice)', 'Jada Pinkett-Smith (Voice)', 'Sacha Baron Cohen (Voice)', 'Cedric the Entertainer (Voice)', 'Andy Richter (Voice)', 'Jessica Chastain (Voice)', 'Frances McDormand (Voice)', 'Bryan Cranston (Voice)', 'Martin Short (Voice)']",,,,Hans Zimmer,Madagascar,Madagascar 3: Europe's Most Wanted,216391482.0,,2012-06-08 00:00:00,93.0,PG,Animation
398,399,262758400.0,,,"['Ben Stiller (Voice)', 'Chris Rock (Voice)', 'David Schwimmer (Voice)', 'Jada Pinkett-Smith (Voice)', 'Cedric the Entertainer (Voice)', 'Sacha Baron Cohen (Voice)', 'Tom McGrath* (Voice)']",,,Mireille Soria,,Madagascar,Madagascar,193595521.0,,2005-05-27 00:00:00,86.0,PG,Animation
399,400,218119100.0,,150000000,"['Ben Stiller (Voice)', 'Chris Rock (Voice)', 'David Schwimmer (Voice)', 'Jada Pinkett-Smith (Voice)', 'Sacha Baron Cohen (Voice)', 'Cedric the Entertainer (Voice)', 'Andy Richter (Voice)', 'Bernie Mac (Voice)', 'Alec Baldwin (Voice)', 'Tom McGrath* (Voice)', 'Zachary Gordon* (Voice)']",,,,Hans Zimmer,Madagascar,Madagascar: Escape 2 Africa,180010950.0,,2008-11-07 00:00:00,89.0,PG,Animation
400,401,87721800.0,,132000000,"['Benedict Cumberbatch (Voice)', 'Ken Jeong (Voice)', 'John Malkovich (Voice)', 'Peter Stormare (Voice)']",,,,Lorne Balfe,Madagascar,Penguins of Madagascar,83350911.0,,2014-11-26 00:00:00,92.0,PG,Animation
402,403,109668900.0,,,"['Tyler Perry', 'Derek Luke', 'Viola Davis']",Tyler Perry,Tyler Perry,Tyler Perry,Aaron Zigman,Madea,Tyler Perry's Madea Goes to Jail,90508336.0,,2009-02-20 00:00:00,103.0,PG-13,Comedy
403,404,73416900.0,,20000000,"['Tyler Perry', 'Eugene Levy', 'Denise Richards', 'Tom Arnold']",Tyler Perry,Tyler Perry,,Aaron Zigman,Madea,Tyler Perry's Madea's Witness Protection,65653242.0,,2012-06-29 00:00:00,114.0,PG-13,Comedy
404,405,84022000.0,,6000000,"['Tyler Perry', 'Boris Kodjoe', 'Keke Palmer']",Tyler Perry,Tyler Perry,Tyler Perry (executive),,Madea,Tyler Perry's Madea's Family Reunion,63257940.0,,2006-02-24 00:00:00,107.0,PG-13,Comedy
405,406,57588400.0,,,"['Bow Wow', 'Tyler Perry']",Tyler Perry,Tyler Perry,Ozzie Areu,Aaron Zigman,Madea,Tyler Perry's Madea's Big Happy Family,53345287.0,,2011-04-22 00:00:00,105.0,PG-13,Comedy
406,407,55574000.0,,,,Tyler Perry,Tyler Perry,Tyler Perry,Christopher Young,Madea,Tyler Perry's A Madea Christmas,52543354.0,,2013-12-13 00:00:00,105.0,PG-13,Comedy
407,408,68722000.0,,5500000,"['Tyler Perry', 'Kimberly Elise']",,Tyler Perry,Tyler Perry (executive),,Madea,Tyler Perry's Diary of a Mad Black Woman,50633099.0,,2005-02-25 00:00:00,116.0,PG-13,Comedy
409,410,109127300.0,,,"['Tom Berenger', 'Charlie Sheen', 'Rene Russo', 'Wesley Snipes']",,,Joe Roth (Co-producer),,Major League,Major League,49797148.0,,1989-04-07 00:00:00,107.0,R,Sports
410,411,63743500.0,,,"['Charlie Sheen', 'Tom Berenger', 'Omar Epps']",David S. Ward,,,,Major League,Major League II,30626182.0,,1994-04-01 00:00:00,105.0,PG,Sports
411,412,6626900.0,,,,,,,,Major League,Major League: Back to the Minors,3572443.0,,1998-04-17 00:00:00,100.0,PG-13,Sports
412,413,358244800.0,,170000000,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel (Voice)', 'Bradley Cooper (Voice)', 'Lee Pace', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio Del Toro', 'Josh Brolin*']",James Gunn,,,Tyler Bates,Marvel Cinematic Universe,Guardians of the Galaxy,333176600.0,,2014-08-01 00:00:00,121.0,PG-13,Action
413,414,215245500.0,,170000000,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Idris Elba', 'Stellan Skarsgard', 'Christopher Eccleston', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Jaimie Alexander', ""Chris O'Dowd"", 'Rene Russo', 'Chris Evans*']",Alan Taylor,,,Brian Tyler,Marvel Cinematic Universe,Thor: The Dark World,206362140.0,,2013-11-08 00:00:00,120.0,PG-13,Action
414,415,195462600.0,,150000000,"['Chris Hemsworth', 'Natalie Portman', 'Kat Dennings', 'Anthony Hopkins', 'Ray Stevenson', 'Idris Elba', 'Stellan Skarsgard', 'Rene Russo', 'Colm Feore', 'Clark Gregg', 'Tom Hiddleston', 'Samuel L. Jackson* (Cameo)', 'Jeremy Renner* (Cameo)']",Kenneth Branagh,,,Patrick Doyle,Marvel Cinematic Universe,Thor,181030624.0,,2011-05-06 00:00:00,115.0,PG-13,Action
415,416,189904700.0,,130000000,"['Chris Evans*', 'Judy Greer', 'Anthony Mackie*', 'Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Corey Stoll', 'John Slattery', 'Bobby Cannavale', 'Michael Pena', 'T.I.']",Peyton Reed,,Kevin Feige,Christophe Beck,Marvel Cinematic Universe,Ant-Man,180202163.0,,2015-07-17 00:00:00,117.0,PG-13,Action
416,417,163345400.0,,150000000,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt', 'Tim Blake Nelson', 'Ty Burrell', 'Michael K. Williams (Cameo)', 'Robert Downey, Jr.*']",Louis Leterrier,Zak Penn,,Craig Armstrong,Marvel Cinematic Universe,The Incredible Hulk,134806913.0,,2008-06-13 00:00:00,114.0,PG-13,Action
428,429,406254600.0,,150000000,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Jada Pinkett-Smith', 'Hugo Weaving', 'Monica Bellucci']",Andy & Lana Wachowski,Andy & Lana Wachowski,Joel Silver,,The Matrix,The Matrix Reloaded,281576461.0,,2003-05-15 00:00:00,138.0,R,Sci-Fi
429,430,293676300.0,,63000000,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne', 'Hugo Weaving']",Andy & Lana Wachowski,Andy & Lana Wachowski,,,The Matrix,The Matrix,171479930.0,,1999-03-31 00:00:00,136.0,R,Sci-Fi
430,431,200930200.0,,150000000,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Jada Pinkett-Smith', 'Hugo Weaving', 'Monica Bellucci*']",Andy & Lana Wachowski,Andy & Lana Wachowski,Joel Silver,,The Matrix,The Matrix Revolutions,139313948.0,,2003-11-05 00:00:00,135.0,R,Sci-Fi
431,432,108532600.0,,34000000,"[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster', 'Will Poulter']",Wes Ball,,,John Paesano,Maze Runner,The Maze Runner,102427862.0,,2014-09-19 00:00:00,113.0,PG-13,Sci-Fi
432,433,83752800.0,,61000000,"['Patricia Clarkson', 'Giancarlo Esposito', 'Aidan Gillen', 'Ki Hong Lee', 'Barry Pepper', 'Lili Taylor', ""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']",Wes Ball,T.S. Nowlin,,John Paesano,Maze Runner,Maze Runner: The Scorch Trials,81697192.0,,2015-09-18 00:00:00,131.0,PG-13,Action
434,435,149203300.0,,,,Ivan Reitman,Harold Ramis,,Elmer Bernstein,Meatballs,Meatballs,43046003.0,,1979-06-29 00:00:00,92.0,PG,Comedy
435,436,14010500.0,,,,,,,,Meatballs,Meatballs II,5410972.0,,1984-07-27 00:00:00,87.0,PG,Unknown
436,437,4777700.0,,,,,Harold Ramis,Don Carmody,,Meatballs,Meatballs III,2147228.0,,1987-01-09 00:00:00,94.0,R,Comedy
437,438,475165100.0,,90000000,"['Tommy Lee Jones', 'Will Smith']",Barry Sonnenfeld,Ed Solomon,,Danny Elfman,Men in Black,Men in Black,250690539.0,,1997-07-02 00:00:00,97.0,PG-13,Sci-Fi
438,439,285136600.0,,140000000,"['Tommy Lee Jones', 'Will Smith', 'Rip Torn', 'Lara Flynn Boyle', 'Johnny Knoxville', 'Rosario Dawson', 'Tony Shalhoub*', 'Patrick Warburton*']",Barry Sonnenfeld,,Steven Spielberg (executive),Danny Elfman,Men in Black,Men in Black II,190418803.0,,2002-07-03 00:00:00,88.0,PG-13,Sci-Fi
439,440,192383100.0,,225000000,"['Will Smith', 'Josh Brolin', 'Tommy Lee Jones', 'Alice Eve', 'Emma Thompson', 'Michael Stuhlbarg', 'Jemaine Clement', 'Bill Hader*']",Barry Sonnenfeld,Etan Cohen,Steven Spielberg (executive),Danny Elfman,Men in Black,MIB 3,179020854.0,,2012-05-25 00:00:00,106.0,PG-13,Sci-Fi
440,441,106396500.0,,10000000,,,,Jordan Kerner,,The Mighty Ducks,The Mighty Ducks,50752337.0,,1992-10-02 00:00:00,104.0,PG,Family
441,442,94930800.0,,,,,,Jordan Kerner,,The Mighty Ducks,D2: The Mighty Ducks,45610410.0,,1994-03-25 00:00:00,107.0,PG,Family
442,443,45183100.0,,,,,,Jordan Kerner,,The Mighty Ducks,D3: The Mighty Ducks,22955097.0,,1996-10-04 00:00:00,104.0,PG,Family
443,444,11179700.0,,13000000,"['Michael Nyqvist', 'Noomi Rapace']",Niels Arden Oplev,,,,Millennium,The Girl with the Dragon Tattoo,10095170.0,,2010-03-19 00:00:00,152.0,R,Thriller
444,445,8607100.0,,,"['Michael Nyqvist', 'Noomi Rapace']",,,,,Millennium,The Girl Who Played with Fire,7638241.0,,2010-07-09 00:00:00,129.0,R,Thriller
445,446,5641600.0,,,"['Michael Nyqvist', 'Noomi Rapace']",,,,,Millennium,The Girl Who Kicked the Hornet's Nest,5190196.0,,2010-10-29 00:00:00,148.0,R,Foreign
446,447,58904000.0,,,,,,,,Missing in Action,Missing in Action,22812411.0,,1984-11-16 00:00:00,101.0,R,Action
447,448,26358400.0,,,,,,,,Missing in Action,Missing in Action II: The Beginning,10755447.0,,1985-03-01 00:00:00,95.0,R,Action
448,449,13111200.0,,,,,,,,Missing in Action,Braddock: Missing in Action III,6193901.0,,1988-01-22 00:00:00,101.0,R,Action
449,450,347693200.0,,125000000,"['Tom Cruise', 'Dougray Scott', 'Thandie Newton', 'Ving Rhames', 'Richard Roxburgh', 'Brendan Gleeson', 'Anthony Hopkins']",John Woo,,,,Mission,Mission: Impossible II,215409889.0,,2000-05-24 00:00:00,123.0,PG-13,Action
450,451,231313500.0,,145000000,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton', 'Josh Holloway', 'Michael Nyqvist', 'Vladimir Mashkov', 'Lea Seydoux', 'Anil Kapoor', 'Tom Wilkinson*']",Brad Bird,,,Michael Giacchino,Mission,Mission: Impossible - Ghost Protocol,209397903.0,,2011-12-16 00:00:00,132.0,PG-13,Action
451,452,205545300.0,,150000000,"['Rebecca Ferguson', 'Rebecca Ferguson', 'Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Alec Baldwin', 'Ving Rhames']",Christopher McQuarrie,Christopher McQuarrie,,,Mission,Mission: Impossible - Rogue Nation,195042377.0,,2015-07-31 00:00:00,130.0,PG-13,Action
452,453,356231300.0,,80000000,"['Tom Cruise', 'Jon Voight']",Brian De Palma,,,Danny Elfman,Mission,Mission: Impossible,180981856.0,,1996-05-22 00:00:00,110.0,PG-13,Action
453,454,178024300.0,,150000000,"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames', 'Billy Crudup', 'Michelle Monaghan', 'Jonathan Rhys Meyers', 'Keri Russell', 'Maggie Q', 'Simon Pegg', 'Eddie Marsan', 'Laurence Fishburne']",J.J. Abrams,,,Michael Giacchino,Mission,Mission: Impossible III,134029801.0,,2006-05-05 00:00:00,126.0,PG-13,Action
454,455,310525100.0,,98000000,"['Brendan Fraser', 'Rachel Weisz', 'Dwayne Johnson*']",Stephen Sommers,Stephen Sommers,,Alan Silvestri,The Mummy,The Mummy Returns,202019785.0,,2001-05-04 00:00:00,130.0,PG-13,Period
455,456,266113000.0,,80000000,"['Brendan Fraser', 'Rachel Weisz']",Stephen Sommers,Stephen Sommers,,Jerry Goldsmith,The Mummy,The Mummy,155385488.0,,1999-05-07 00:00:00,124.0,PG-13,Period
456,457,124189200.0,,145000000,"['Brendan Fraser', 'Jet Li', 'Maria Bello']",Rob Cohen,Alfred Gough & Miles Millar,Stephen Sommers,Randy Edelman,The Mummy,The Mummy: Tomb of the Dragon Emperor,102491776.0,,2008-08-01 00:00:00,114.0,PG-13,Period
457,458,136335600.0,,60000000,"['Dwayne Johnson', 'Michael Clarke Duncan']",,David Hayter,,John Debney,The Mummy,The Scorpion King,91047077.0,,2002-04-19 00:00:00,92.0,PG-13,Action
458,459,98368100.0,,45000000,"['Jason Segel', 'Amy Adams', 'Chris Cooper', 'Rashida Jones', 'Alan Arkin*', 'Jack Black*', 'Zach Galifianakis* (Cameo)', 'Ken Jeong* (Cameo)', 'Jim Parsons* (Cameo)', 'Kristen Schaal* (Cameo)', 'Sarah Silverman* (Cameo)', 'Emily Blunt* (Cameo)', 'Whoopi Goldberg* (Cameo)', 'Selena Gomez* (Cameo)', 'Neil Patrick Harris* (Cameo)', 'John Krasinski* (Cameo)', 'Mickey Rooney* (Cameo)']",James Bobin,,,Christophe Beck,The Muppets,The Muppets,88631237.0,,2011-11-23 00:00:00,120.0,PG,Family
459,460,225992000.0,,,,,,,,The Muppets,The Muppet Movie,65200000.0,,1979-06-22 00:00:00,95.0,G,Family
460,461,54519300.0,,50000000,"['Ricky Gervais', 'Ty Burrell', 'Tina Fey']",James Bobin,,,Christophe Beck,The Muppets,Muppets Most Wanted,51183113.0,,2014-03-21 00:00:00,112.0,PG,Family
461,462,67567500.0,,,,Brian Henson,,,Hans Zimmer,The Muppets,Muppet Treasure Island,34327391.0,,1996-02-16 00:00:00,99.0,G,Family
462,463,97659900.0,,,,,,,,The Muppets,The Great Muppet Caper,31206251.0,,1981-06-26 00:00:00,95.0,G,Family
463,464,57221300.0,,12000000,,,,,,The Muppets,The Muppet Christmas Carol,27281507.0,,1992-12-11 00:00:00,85.0,G,Family
464,465,66116700.0,,,,Frank Oz,,,,The Muppets,The Muppets Take Manhattan,25534703.0,,1984-07-13 00:00:00,94.0,G,Family
465,466,28473300.0,,24000000,"['Katie Holmes* (Cameo)', 'Rob Schneider* (Cameo)']",Tim Hill,,,,The Muppets,Muppets from Space,16625807.0,,1999-07-14 00:00:00,88.0,G,Family
466,467,179642400.0,,23000000,,David Zucker,David Zucker,,,The Naked Gun,The Naked Gun 2 1/2: The Smell of Fear,86930411.0,,1991-06-28 00:00:00,85.0,PG-13,Comedy
467,468,169606200.0,,,,David Zucker,,,,The Naked Gun,The Naked Gun: From the Files of Police Squad!,78756177.0,,1988-12-02 00:00:00,84.0,PG-13,Comedy
468,469,106424300.0,,30000000,,Peter Segal,David Zucker,,,The Naked Gun,The Naked Gun 33 1/3: The Final Insult,51132598.0,,1994-03-18 00:00:00,82.0,PG-13,Comedy
469,470,52196900.0,,,,Wolfgang Petersen,,Bernd Eichinger,,The Neverending Story,The Neverending Story,20158808.0,,1984-07-20 00:00:00,92.0,PG,Fantasy
470,471,35902500.0,,,,,,,,The Neverending Story,The Neverending Story II,17373527.0,,1991-02-08 00:00:00,89.0,PG,Family
472,473,322261900.0,,,"['Ben Stiller', 'Carla Gugino', 'Dick Van Dyke', 'Mickey Rooney', 'Bill Cobbs', 'Ricky Gervais', 'Robin Williams', 'Steve Coogan', 'Owen Wilson']",Shawn Levy,Thomas Lennon & Ben Garant,,Alan Silvestri,Night at the Museum,Night at the Museum,250863268.0,,2006-12-22 00:00:00,108.0,PG,Family
473,474,206700700.0,,150000000,"['Ben Stiller', 'Amy Adams', 'Owen Wilson', 'Hank Azaria', 'Robin Williams', 'Christopher Guest', 'Steve Coogan', 'Ricky Gervais', 'Bill Hader', 'Jonah Hill', 'Jay Baruchel*', 'Mindy Kaling*']",Shawn Levy,Thomas Lennon & Ben Garant,,Alan Silvestri,Night at the Museum,Night at the Museum: Battle of the Smithsonian,177243721.0,,2009-05-22 00:00:00,105.0,PG,Family
474,475,121028200.0,,127000000,"['Dan Stevens', 'Ben Stiller', 'Robin Williams', 'Owen Wilson', 'Rebel Wilson', 'Ben Kingsley', 'Dick Van Dyke', 'Steve Coogan', 'Ricky Gervais']",Shawn Levy,,,Alan Silvestri,Night at the Museum,Night at the Museum: Secret of the Tomb,113746621.0,,2014-12-19 00:00:00,97.0,PG,Family
475,476,69025500.0,,35000000,"['Jackie Earle Haley', 'Rooney Mara', 'Kellan Lutz', 'Thomas Dekker', 'Katie Cassidy']",,Eric Heisserer,,Steve Jablonsky,Nightmare on Elm Street,A Nightmare on Elm Street,63075011.0,,2010-04-30 00:00:00,90.0,R,Horror
476,477,104505600.0,,,,Renny Harlin,Brian Helgeland,,,Nightmare on Elm Street,A Nightmare on Elm Street 4: The Dream Master,49369899.0,,1988-08-19 00:00:00,99.0,R,Horror
477,478,99667800.0,,,,,,,,Nightmare on Elm Street,A Nightmare on Elm Street 3: Dream Warriors,44793222.0,,1987-02-27 00:00:00,96.0,R,Horror
478,479,72063300.0,,11000000,"['Tom Arnold* (Cameo)', 'Breckin Meyer*']",,Michael De Luca,Michael De Luca (executive),,Nightmare on Elm Street,Freddy's Dead: The Final Nightmare,34872033.0,,1991-09-13 00:00:00,89.0,R,Horror
479,480,71001000.0,,,,,,,Christopher Young,Nightmare on Elm Street,A Nightmare on Elm Street 2: Freddy's Revenge,29999213.0,,1985-11-01 00:00:00,87.0,R,Horror
480,481,63504700.0,,,,Wes Craven,Wes Craven,,,Nightmare on Elm Street,A Nightmare on Elm Street,25504513.0,,1984-11-09 00:00:00,91.0,R,Horror
481,482,48580500.0,,,,Stephen Hopkins,Leslie Bohem,,,Nightmare on Elm Street,A Nightmare on Elm Street 5: The Dream Child,22168359.0,,1989-08-11 00:00:00,90.0,R,Horror
482,483,37651800.0,,,,Wes Craven,Wes Craven,,,Nightmare on Elm Street,Wes Craven's New Nightmare,18090181.0,,1994-10-14 00:00:00,112.0,R,Horror
483,484,279050300.0,,85000000,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Julia Roberts', 'Don Cheadle', 'Bernie Mac', 'Casey Affleck', 'Topher Grace* (Cameo)']",Steven Soderbergh,Ted Griffin,,David Holmes,Ocean's 11,Ocean's Eleven,183417150.0,,2001-12-07 00:00:00,116.0,PG-13,Crime
484,485,174660600.0,,110000000,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Catherine Zeta-Jones', 'Don Cheadle', 'Bernie Mac', 'Julia Roberts', 'Casey Affleck', 'Bruce Willis* (Cameo)', 'Jared Harris*', 'Topher Grace* (Cameo)']",Steven Soderbergh,George Nolfi,,David Holmes,Ocean's 11,Ocean's Twelve,125544280.0,,2004-12-10 00:00:00,124.0,PG-13,Crime
485,486,148146200.0,,,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy Garcia', 'Don Cheadle', 'Bernie Mac', 'Casey Affleck', 'Scott Caan', 'Carl Reiner', 'Elliott Gould', 'Ellen Barkin', 'Al Pacino']",Steven Soderbergh,,Gregory Jacobs (executive),David Holmes,Ocean's 11,Ocean's Thirteen,117154724.0,,2007-06-08 00:00:00,113.0,PG-13,Crime
486,487,162636300.0,,,,,,,,"Oh, God!","Oh, God!",41687243.0,,1977-10-07 00:00:00,98.0,PG,Fantasy
487,488,55546200.0,,,,Paul Bogart,,,,"Oh, God!","Oh, God! You Devil!",21538850.0,,1984-11-09 00:00:00,96.0,PG,Fantasy
488,489,46909700.0,,,,,,,,"Oh, God!","Oh, God! Book II",14504277.0,,1980-10-03 00:00:00,94.0,PG,Fantasy
489,490,248840300.0,,,,Richard Donner,David Seltzer,,Jerry Goldsmith,The Omen,The Omen,60922980.0,,1976-06-25 00:00:00,111.0,R,Horror
490,491,72532000.0,,25000000,"['Liev Schreiber', 'Julia Stiles']",John Moore,David Seltzer,Glenn Williamson,Marco Beltrami,The Omen,The Omen,54607383.0,,2006-06-06 00:00:00,105.0,R,Horror
491,492,98593900.0,,,,,,,Jerry Goldsmith,The Omen,Damien: The Omen Part II,26518355.0,,1978-06-09 00:00:00,107.0,R,Horror
492,493,64065100.0,,,,,,,Jerry Goldsmith,The Omen,The Final Conflict: Omen III,20471382.0,,1981-03-20 00:00:00,108.0,R,Horror
493,494,6193400.0,,,,,,,,Ong Bak,Ong Bak: The Thai Warrior,4563167.0,,2005-02-11 00:00:00,107.0,R,Foreign
494,495,117100.0,,,,,,,,Ong Bak,Ong Bak 2: The Beginning,102458.0,,2009-10-23 00:00:00,81.0,R,Action
495,496,16200.0,,,,,,,,Ong Bak,Ong Bak 3,14890.0,,2011-01-14 00:00:00,99.0,R,Foreign
496,497,123370100.0,,"15,000",,Oren Peli,Oren Peli,,,Paranormal Activity,Paranormal Activity,107918810.0,,2009-09-25 00:00:00,99.0,R,Horror
