,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
291,292,20679600.0,,25000000,,,,,Nick Glennie-Smith,Highlander,Highlander: Endgame,12811858.0,,2000-09-01 00:00:00,88.0,R,Action
293,294,13835600.0,,,,,,,Michael Kamen,Highlander,Highlander,5900000.0,,1986-03-07 00:00:00,111.0,R,Action
294,295,329153300.0,,,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Andy Serkis (Voice)', 'Cate Blanchett', 'Hugo Weaving', 'Christopher Lee*', 'Ian Holm*', 'Elijah Wood*']",Peter Jackson,,,Howard Shore,Middle Earth,The Hobbit: An Unexpected Journey,303003568.0,,2012-12-14 00:00:00,166.0,PG-13,Fantasy
295,296,274181300.0,,,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Orlando Bloom', 'Evangeline Lilly', 'Benedict Cumberbatch (Voice)', 'Luke Evans', 'Lee Pace', 'Cate Blanchett*']",Peter Jackson,,,Howard Shore,Middle Earth,The Hobbit: The Desolation of Smaug,258366855.0,,2013-12-13 00:00:00,161.0,PG-13,Fantasy
296,297,270386500.0,,,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Lee Pace', 'Luke Evans', 'Orlando Bloom', 'Evangeline Lilly', 'Hugo Weaving', 'Christopher Lee', 'Cate Blanchett', 'Benedict Cumberbatch (Voice)']",Peter Jackson,,,Howard Shore,Middle Earth,The Hobbit: The Battle of the Five Armies,255119788.0,,2014-12-17 00:00:00,144.0,PG-13,Fantasy
297,298,589287500.0,,18000000,,Chris Columbus,John Hughes,John Hughes,John Williams,Home Alone,Home Alone,285761243.0,,1990-11-16 00:00:00,105.0,PG,Family
298,299,364091400.0,,,"['Macaulay Culkin', 'Joe Pesci', ""Catherine O'Hara"", 'Rob Schneider*']",Chris Columbus,John Hughes,,John Williams,Home Alone,Home Alone 2: Lost in New York,173585516.0,,1992-11-20 00:00:00,120.0,PG,Family
299,300,57777200.0,,32000000,,Raja Gosnell,John Hughes,John Hughes,Nick Glennie-Smith,Home Alone,Home Alone 3,30882515.0,,1997-12-12 00:00:00,102.0,PG,Family
300,301,169700100.0,,80000000,"['Mel Brooks (Voice)', 'Steve Buscemi (Voice)', 'Fran Drescher (Voice)', 'Selena Gomez (Voice)', 'Kevin James (Voice)', 'Chris Kattan (Voice)', 'Keegan-Michael Key (Voice)', 'Jon Lovitz (Voice)', 'Megan Mullally (Voice)', 'Nick Offerman (Voice)', 'Rob Riggle (Voice)', 'Andy Samberg (Voice)', 'Adam Sandler (Voice)', 'Molly Shannon (Voice)', 'Robert Smigel (Voice)', 'David Spade (Voice)', 'Nick Swardson (Voice)']",Genndy Tartakovsky,,,Mark Mothersbaugh,Hotel Transylvania,Hotel Transylvania 2,169700110.0,,2015-09-25 00:00:00,89.0,PG,Animation
301,302,160343500.0,,85000000,"['Adam Sandler (Voice)', 'Andy Samberg (Voice)', 'Selena Gomez (Voice)', 'Kevin James (Voice)', 'Fran Drescher (Voice)', 'Steve Buscemi (Voice)', 'Molly Shannon* (Voice)', 'David Spade* (Voice)', 'Jon Lovitz* (Voice)']",Genndy Tartakovsky,,,Mark Mothersbaugh,Hotel Transylvania,Hotel Transylvania,148313048.0,,2012-09-28 00:00:00,91.0,PG,Animation
303,304,54268300.0,,,,,,,Marcus Miller,House Party,House Party,26385627.0,,1990-03-09 00:00:00,100.0,R,Comedy
304,305,40170100.0,,5000000,"['Queen Latifah*', 'Martin Lawrence']",,,,,House Party,House Party 2,19438638.0,,1991-10-25 00:00:00,94.0,R,Comedy
305,306,40130800.0,,,"['Bernie Mac', 'Chris Tucker*']",Eric Meza,,,,House Party,House Party 3,19281235.0,,1994-01-14 00:00:00,93.0,R,Comedy
306,307,238107800.0,,165000000,"['Jay Baruchel (Voice)', 'Gerard Butler (Voice)', 'America Ferrera (Voice)', 'Jonah Hill (Voice)', 'TJ Miller (Voice)', 'Kristen Wiig (Voice)', 'Christopher Mintz-Plasse (Voice)']",,,,John Powell,How to Train Your Dragon,How to Train Your Dragon,217581231.0,,2010-03-26 00:00:00,98.0,PG,Animation
