,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
735,338517700,,50000000,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Ashley Greene', 'Peter Facinelli', 'Elizabeth Reaser', 'Jackson Rathbone', 'Kellan Lutz', 'Michael Sheen', 'Dakota Fanning*', 'Anna Kendrick*', 'Cam Gigandet*']",Chris Weitz,Melissa Rosenberg,,Alexandre Desplat,Twilight,The Twilight Saga: New Moon,296623634,,2009-11-20 00:00:00,130,PG-13,Romance
738,233579100,,37000000,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Cam Gigandet', 'Ashley Greene', 'Anna Kendrick*', 'Nikki Reed*', 'Taylor Lautner*', 'Kellan Lutz*', 'Jackson Rathbone*', 'Sarah Clarke*']",Catherine Hardwicke,Melissa Rosenberg,,Carter Burwell,Twilight,Twilight,192769854,,2008-11-21 00:00:00,120,PG-13,Romance
741,74965900,,22000000,"['Kate Beckinsale', 'Scott Speedman', 'Michael Sheen', 'Bill Nighy']",Len Wiseman,,,Paul Haslinger,Underworld,Underworld,51970690,,2003-09-19 00:00:00,115,R,Action Horror
739,69245600,,70000000,"['Kate Beckinsale', 'Michael Ealy', 'Stephen Rea', 'Theo James']",,,,Paul Haslinger,Underworld,Underworld Awakening,62321039,,2012-01-20 00:00:00,88,R,Action Horror
743,,,,,,,,,Underworld,Underworld: Blood Wars,,,2016-10-14 00:00:00,,Not Yet Rated,Action Fantasy
740,82774700,,,"['Kate Beckinsale', 'Scott Speedman', 'Michael Sheen*']",Len Wiseman,,,Marco Beltrami,Underworld,Underworld: Evolution,62318875,,2006-01-20 00:00:00,106,R,Action Horror
742,55498600,,35000000,"['Rhona Mitra', 'Bill Nighy', 'Michael Sheen']",,,,Paul Haslinger,Underworld,Underworld: Rise of the Lycans,45802315,,2009-01-23 00:00:00,92,R,Action Horror
744,76098600,,,"['Jean-Claude Van Damme', 'Dolph Lundgren']",Roland Emmerich,Dean Devlin,,Tim Simonec,Universal Soldier,Universal Soldier,36299898,,1992-07-10 00:00:00,102,R,Sci-Fi Action
746,5900,,,"['Dolph Lundgren', 'Jean-Claude Van Damme']",,,,,Universal Soldier,Universal Soldier: Day of Reckoning,5460,,2012-11-30 00:00:00,114,R,Sci-Fi Action
745,18269800,,45000000,,,Dean Devlin,,,Universal Soldier,Universal Soldier: The Return,10667893,,1999-08-20 00:00:00,83,R,Sci-Fi Action
747,108500,,,,,,,,V/H/S,V/H/S,100345,,2012-10-05 00:00:00,116,R,Horror
749,2900,,,,,,,,V/H/S,V/H/S: Viral,2756,,2014-11-21 00:00:00,81,R,Horror
748,22700,,,,,,,,V/H/S,V/H/S/2,,,2013-07-12 00:00:00,95,R,Horror
750,153379900,,,"['Chevy Chase', 'Randy Quaid']",,John Hughes,John Hughes,,Vacation,Christmas Vacation,71319526,,1989-12-01 00:00:00,97,PG-13,Comedy
753,120978100,,,,Amy Heckerling,John Hughes,,,Vacation,European Vacation,49364621,,1985-07-26 00:00:00,94,PG-13,Comedy
751,169579700,,,"['Chevy Chase', 'Randy Quaid']",Harold Ramis,John Hughes,,,Vacation,National Lampoon's Vacation,61399552,,1983-07-29 00:00:00,99,R,Comedy
752,62064300,,31000000,"['Keegan-Michael Key', 'Ed Helms', 'Leslie Mann', 'Christina Applegate', 'Chris Hemsworth', 'Chevy Chase']",,,,Mark Mothersbaugh,Vacation,Vacation,58884188,,2015-07-29 00:00:00,99,R,Comedy
754,68994200,,,"['Chevy Chase', 'Randy Quaid']",Stephen Kessler,Elisa Bell,,,Vacation,Vegas Vacation,36400360,,1997-02-14 00:00:00,95,PG,Comedy
756,84878100,,,"['Eddie Albert', 'Ray Milland', 'Donald Pleasence']",,,,,Witch Mountain,Escape to Witch Mountain,20000000,,1975-03-21 00:00:00,97,G,Family Adventure
755,81393000,,,"['Dwayne Johnson', 'AnnaSophia Robb', 'Alexander Ludwig', 'Carla Gugino', 'Tom Everett Scott', 'Garry Marshall']",Andy Fickman,Mark Bomback,,Trevor Rabin,Witch Mountain,Race to Witch Mountain,67172594,,2009-03-13 00:00:00,99,PG,Family Adventure
757,60948300,,,"['Bette Davis', 'Christopher Lee']",,,,,Witch Mountain,Return from Witch Mountain,16393000,,1978-03-10 00:00:00,95,G,Family Adventure
761,360087900,,58000000,"['Ryan Reynolds', 'Morena Baccarin', 'Gina Carano', 'TJ Miller', 'Ed Skrein']",Tim Miller,,,,X-Men,Deadpool,,,2016-02-12 00:00:00,106,R,Action
768,146994400,,120000000,"['Hugh Jackman', 'Famke Janssen*']",James Mangold,,,Marco Beltrami,X-Men,The Wolverine,132556852,,2013-07-26 00:00:00,126,PG-13,Action
770,,,,,,,,,X-Men,Untitled Wolverine,,,2017-03-03 00:00:00,,Not Yet Rated,Action
766,253897500,,75000000,"['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen', 'Famke Janssen', 'James Marsden', 'Halle Berry', 'Anna Paquin', 'Rebecca Romijn']",Bryan Singer,David Hayter,,Michael Kamen,X-Men,X-Men,157299717,,2000-07-14 00:00:00,104,PG-13,Action / Adventure
765,209783200,,150000000,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Dominic Monaghan', 'Ryan Reynolds', 'Taylor Kitsch']",Gavin Hood,Skip Woods,,Harry Gregson-Williams,X-Men,X-Men Origins: Wolverine,179883157,,2009-05-01 00:00:00,107,PG-13,Action / Adventure
769,,,,"['Rose Byrne', 'Michael Fassbender', 'Nicholas Hoult', 'Oscar Isaac', 'Jennifer Lawrence', 'James McAvoy', 'Olivia Munn', 'Evan Peters', 'Tye Sheridan', 'Kodi Smit-McPhee', 'Sophie Turner']",Bryan Singer,Simon Kinberg,,,X-Men,X-Men: Apocalypse,,,2016-05-27 00:00:00,,Not Yet Rated,Action / Adventure
763,244757100,,200000000,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Patrick Stewart', 'Ian McKellen', 'Ellen Page', 'Halle Berry', 'Shawn Ashmore', 'Peter Dinklage', 'Anna Paquin*', 'Famke Janssen*', 'James Marsden*']",Bryan Singer,Simon Kinberg,,John Ottman,X-Men,X-Men: Days of Future Past,233921534,,2014-05-23 00:00:00,131,PG-13,Action / Adventure
767,158208300,,160000000,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Rose Byrne', 'January Jones', 'Kevin Bacon', 'Nicholas Hoult', 'Oliver Platt', 'Jason Flemyng']",Matthew Vaughn,,,Henry Jackman,X-Men,X-Men: First Class,146408305,,2011-06-03 00:00:00,131,PG-13,Action / Adventure
762,311290600,,210000000,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Famke Janssen', 'Anna Paquin', 'Kelsey Grammer', 'Rebecca Romijn', 'James Marsden', 'Ben Foster*', 'Patrick Stewart', 'Ellen Page*']",Brett Ratner,,,John Powell,X-Men,X-Men: The Last Stand,234362462,,2006-05-26 00:00:00,104,PG-13,Action / Adventure
764,310126400,,110000000,"['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen', 'James Marsden', 'Anna Paquin', 'Rebecca Romijn', 'Brian Cox', 'Alan Cumming']",Bryan Singer,,,John Ottman,X-Men,X2: X-Men United,214949694,,2003-05-02 00:00:00,134,PG-13,Action / Adventure
771,212781400,,70000000,"['Vin Diesel', 'Samuel L. Jackson']",Rob Cohen,,,Randy Edelman,xXx Trilogy,XXX,142109382,,2002-08-09 00:00:00,113,PG-13,Action
772,36474800,,,"['Ice Cube', 'Samuel L. Jackson', 'Willem Dafoe']",Lee Tamahori,Simon Kinberg,,Marco Beltrami,xXx Trilogy,XXX: State of the Union,26873932,,2005-04-29 00:00:00,93,PG-13,Action Thriller
773,,,,"['Toni Collette', 'Vin Diesel', 'Tony Jaa', 'Samuel L. Jackson', 'Deepika Padukone', 'Donnie Yen']",D.J. Caruso,,Joe Roth,,xXx Trilogy,xXx: The Return of Xander Cage,,,2017-01-20 00:00:00,,Unknown,Action / Adventure
