,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
193,247794100,,160000000,"['Gal Gadot', 'Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', ""Chris 'Ludacris' Bridges"", 'Jordana Brewster', 'Luke Evans', 'Gina Carano']",Justin Lin,Chris Morgan,,,The Fast and the Furious,Fast & Furious 6,238679850,,2013-05-24 00:00:00,130,PG-13,Action
200,,,,,,,,,The Fast and the Furious,Fast & Furious 9,,,2019-04-19 00:00:00,,Unknown,Action / Adventure
199,,,,"['Vin Diesel', 'Dwayne Johnson', 'Tyrese Gibson', 'Charlize Theron', 'Michelle Rodriguez']",F. Gary Gray,,,,The Fast and the Furious,Fast 8,,,2017-04-14 00:00:00,,Not Yet Rated,Action
195,187891300,,85000000,"['Gal Gadot', 'Vin Diesel', 'Paul Walker', 'Michelle Rodriguez', 'Jordana Brewster', 'Brandon T. Jackson*']",Justin Lin,Chris Morgan,,Brian Tyler,The Fast and the Furious,Fast and Furious,155064265,,2009-04-03 00:00:00,99,PG-13,Action
194,226530200,,125000000,"['Gal Gadot', 'Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jordana Brewster', ""Chris 'Ludacris' Bridges"", 'Tyrese Gibson']",Justin Lin,Chris Morgan,,Brian Tyler,The Fast and the Furious,Fast Five,209837675,,2011-04-29 00:00:00,130,PG-13,Action
192,356907000,,190000000,"['Tony Jaa', 'Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Jordana Brewster', 'Tyrese Gibson', ""Chris 'Ludacris' Bridges"", 'Lucas Black', 'Jason Statham', 'Djimon Hounsou', 'Kurt Russell']",James Wan,Chris Morgan,,Brian Tyler,The Fast and the Furious,Furious 7,353007020,,2015-04-03 00:00:00,137,PG-13,Action
196,222163500,,38000000,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster']",Rob Cohen,David Ayer,,,The Fast and the Furious,The Fast and the Furious,144533925,,2001-06-22 00:00:00,106,PG-13,Action
198,83034400,,,"['Lucas Black', 'Bow Wow']",Justin Lin,Chris Morgan,,Brian Tyler,The Fast and the Furious,The Fast and the Furious: Tokyo Drift,62514415,,2006-06-16 00:00:00,90,PG-13,Action / Crime
236,684223900,686626300,6000000,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Diane Keaton']",,,,,The Godfather,The Godfather,133698921,134966411,1972-03-15 00:00:00,175,R,Crime Drama
239,2402400,686626300,,,,,,,The Godfather,The Godfather,1267490,134966411,1997-03-21 00:00:00,175,R,Crime Drama
238,221188600,,13000000,"['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert DeNiro']",,,,,The Godfather,The Godfather Part II,47542841,,1974-12-12 00:00:00,200,R,Crime Drama
237,137628900,,54000000,"['Al Pacino', 'Diane Keaton', 'Andy Garcia', 'Eli Wallach', 'Joe Mantegna', 'Bridget Fonda', 'Sofia Coppola']",,,,,The Godfather,The Godfather Part III,66666062,,1990-12-25 00:00:00,162,R,Crime Drama
259,323343300,,35000000,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Justin Bartha', 'Heather Graham', 'Jeffrey Tambor', 'Ken Jeong', 'Rachael Harris', 'Rob Riggle*']",Todd Phillips,,,Christophe Beck,The Hangover,The Hangover,277322503,,2009-06-05 00:00:00,96,R,Comedy
260,274810400,,80000000,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Justin Bartha', 'Ken Jeong', 'Paul Giamatti', 'Mike Tyson', 'Jeffrey Tambor', 'Jamie Chung']",Todd Phillips,,,Christophe Beck,The Hangover,The Hangover Part II,254464305,,2011-05-26 00:00:00,102,R,Comedy
261,116484600,,103000000,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Justin Bartha', 'John Goodman', 'Heather Graham', 'Ken Jeong', 'Melissa McCarthy']",Todd Phillips,,,Christophe Beck,The Hangover,The Hangover Part III,112200072,,2013-05-23 00:00:00,100,R,Comedy
311,442510400,,78000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Elizabeth Banks', 'Wes Bentley', 'Stanley Tucci', 'Woody Harrelson', 'Lenny Kravitz', 'Toby Jones']",Gary Ross,,,James Newton Howard,The Hunger Games,The Hunger Games,408010692,,2012-03-23 00:00:00,142,PG-13,Action / Adventure
310,444697400,,130000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Elizabeth Banks', 'Stanley Tucci', 'Woody Harrelson', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Jena Malone', 'Amanda Plummer', 'Sam Claflin', 'Donald Sutherland', 'Lenny Kravitz']",Francis Lawrence,,Nina Jacobson,James Newton Howard,The Hunger Games,The Hunger Games: Catching Fire,424668047,,2013-11-22 00:00:00,146,PG-13,Action / Adventure
312,354324000,,125000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Donald Sutherland', 'Philip Seymour Hoffman', 'Julianne Moore', 'Sam Claflin', 'Elizabeth Banks', 'Jena Malone', 'Jeffrey Wright', 'Stanley Tucci']",Francis Lawrence,,,James Newton Howard,The Hunger Games,The Hunger Games: Mockingjay - Part 1,337135885,,2014-11-21 00:00:00,123,PG-13,Action / Adventure
313,281723900,,160000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Francis Lawrence,,,James Newton Howard,The Hunger Games,The Hunger Games: Mockingjay - Part 2,281723902,,2015-11-20 00:00:00,137,PG-13,Action / Adventure
373,18554700,,,,,,,,The Karate Kid,The Next Karate Kid,8914777,,1994-08-12 00:00:00,104,PG,Sports Action
393,113291200,,,,,,,,The Lord of the Rings,The Lord of the Rings,30471420,,1978-11-15 00:00:00,132,PG,Animation
430,293676300,,63000000,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne', 'Hugo Weaving']",Andy & Lana Wachowski,Andy & Lana Wachowski,,,The Matrix,The Matrix,171479930,,1999-03-31 00:00:00,136,R,Sci-Fi Action
429,406254600,,150000000,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Jada Pinkett-Smith', 'Hugo Weaving', 'Monica Bellucci']",Andy & Lana Wachowski,Andy & Lana Wachowski,Joel Silver,,The Matrix,The Matrix Reloaded,281576461,,2003-05-15 00:00:00,138,R,Sci-Fi Action
431,200930200,,150000000,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Jada Pinkett-Smith', 'Hugo Weaving', 'Monica Bellucci*']",Andy & Lana Wachowski,Andy & Lana Wachowski,Joel Silver,,The Matrix,The Matrix Revolutions,139313948,,2003-11-05 00:00:00,135,R,Sci-Fi Action
442,94930800,,,,,,Jordan Kerner,,The Mighty Ducks,D2: The Mighty Ducks,45610410,,1994-03-25 00:00:00,107,PG,Family Comedy
443,45183100,,,,,,Jordan Kerner,,The Mighty Ducks,D3: The Mighty Ducks,22955097,,1996-10-04 00:00:00,104,PG,Family Comedy
441,106396500,,10000000,,,,Jordan Kerner,,The Mighty Ducks,The Mighty Ducks,50752337,,1992-10-02 00:00:00,104,PG,Family Comedy
456,266113000,,80000000,"['Brendan Fraser', 'Rachel Weisz']",Stephen Sommers,Stephen Sommers,,Jerry Goldsmith,The Mummy,The Mummy,155385488,,1999-05-07 00:00:00,124,PG-13,Period Adventure
455,310525100,,98000000,"['Brendan Fraser', 'Rachel Weisz', 'Dwayne Johnson*']",Stephen Sommers,Stephen Sommers,,Alan Silvestri,The Mummy,The Mummy Returns,202019785,,2001-05-04 00:00:00,130,PG-13,Period Adventure
457,124189200,,145000000,"['Brendan Fraser', 'Jet Li', 'Maria Bello']",Rob Cohen,Alfred Gough & Miles Millar,Stephen Sommers,Randy Edelman,The Mummy,The Mummy: Tomb of the Dragon Emperor,102491776,,2008-08-01 00:00:00,114,PG-13,Period Adventure
458,136335600,,60000000,"['Dwayne Johnson', 'Michael Clarke Duncan']",,David Hayter,,John Debney,The Mummy,The Scorpion King,91047077,,2002-04-19 00:00:00,92,PG-13,Action Fantasy
462,67567500,,,,Brian Henson,,,Hans Zimmer,The Muppets,Muppet Treasure Island,34327391,,1996-02-16 00:00:00,99,G,Family Adventure
466,28473300,,24000000,"['Katie Holmes* (Cameo)', 'Rob Schneider* (Cameo)']",Tim Hill,,,,The Muppets,Muppets from Space,16625807,,1999-07-14 00:00:00,88,G,Family Comedy
461,54519300,,50000000,"['Ricky Gervais', 'Ty Burrell', 'Tina Fey']",James Bobin,,,Christophe Beck,The Muppets,Muppets Most Wanted,51183113,,2014-03-21 00:00:00,112,PG,Family Comedy
463,97659900,,,,,,,,The Muppets,The Great Muppet Caper,31206251,,1981-06-26 00:00:00,95,G,Family Comedy
464,57221300,,12000000,,,,,,The Muppets,The Muppet Christmas Carol,27281507,,1992-12-11 00:00:00,85,G,Family Comedy
460,225992000,,,,,,,,The Muppets,The Muppet Movie,65200000,,1979-06-22 00:00:00,95,G,Family Adventure
459,98368100,,45000000,"['Jason Segel', 'Amy Adams', 'Chris Cooper', 'Rashida Jones', 'Alan Arkin*', 'Jack Black*', 'Zach Galifianakis* (Cameo)', 'Ken Jeong* (Cameo)', 'Jim Parsons* (Cameo)', 'Kristen Schaal* (Cameo)', 'Sarah Silverman* (Cameo)', 'Emily Blunt* (Cameo)', 'Whoopi Goldberg* (Cameo)', 'Selena Gomez* (Cameo)', 'Neil Patrick Harris* (Cameo)', 'John Krasinski* (Cameo)', 'Mickey Rooney* (Cameo)']",James Bobin,,,Christophe Beck,The Muppets,The Muppets,88631237,,2011-11-23 00:00:00,120,PG,Family Comedy
465,66116700,,,,Frank Oz,,,,The Muppets,The Muppets Take Manhattan,25534703,,1984-07-13 00:00:00,94,G,Family Comedy
467,179642400,,23000000,,David Zucker,David Zucker,,,The Naked Gun,The Naked Gun 2 1/2: The Smell of Fear,86930411,,1991-06-28 00:00:00,85,PG-13,Comedy
469,106424300,,30000000,,Peter Segal,David Zucker,,,The Naked Gun,The Naked Gun 33 1/3: The Final Insult,51132598,,1994-03-18 00:00:00,82,PG-13,Comedy
468,169606200,,,,David Zucker,,,,The Naked Gun,The Naked Gun: From the Files of Police Squad!,78756177,,1988-12-02 00:00:00,84,PG-13,Comedy
470,52196900,,,,Wolfgang Petersen,,Bernd Eichinger,,The Neverending Story,The Neverending Story,20158808,,1984-07-20 00:00:00,92,PG,Fantasy
471,35902500,,,,,,,,The Neverending Story,The Neverending Story II,17373527,,1991-02-08 00:00:00,89,PG,Family Adventure
472,,,,,,,,,The Neverending Story,The Neverending Story III,,,1996-02-02 00:00:00,95,G,Family Adventure
492,98593900,,,,,,,Jerry Goldsmith,The Omen,Damien: The Omen Part II,26518355,,1978-06-09 00:00:00,107,R,Horror
493,64065100,,,,,,,Jerry Goldsmith,The Omen,The Final Conflict: Omen III,20471382,,1981-03-20 00:00:00,108,R,Horror
490,248840300,,,,Richard Donner,David Seltzer,,Jerry Goldsmith,The Omen,The Omen,60922980,,1976-06-25 00:00:00,111,R,Horror
491,72532000,,25000000,"['Liev Schreiber', 'Julia Stiles']",John Moore,David Seltzer,Glenn Williamson,Marco Beltrami,The Omen,The Omen,54607383,,2006-06-06 00:00:00,105,R,Horror
508,115702800,,,,,,,,The Pink Panther,A Shot in the Dark,12368234,,1964-06-23 00:00:00,102,PG,Comedy
511,12406400,,,,,,,,The Pink Panther,Curse of the Pink Panther,4491986,,1983-08-12 00:00:00,110,PG,Comedy
505,177536600,,,,,,,,The Pink Panther,Return of the Pink Panther,41833347,,1975-05-21 00:00:00,113,G,Comedy
504,184333200,,,,,,,,The Pink Panther,Revenge of the Pink Panther,49579269,,1978-07-19 00:00:00,104,PG,Comedy
512,5123400,,,,,,,,The Pink Panther,Son of the Pink Panther,2438031,,1993-08-27 00:00:00,93,PG,Comedy
503,109216800,,80000000,"['Steve Martin', 'Kevin Kline', 'Beyonce Knowles', 'Jean Reno', 'Emily Mortimer']",Shawn Levy,,Robert Simonds,Christophe Beck,The Pink Panther,The Pink Panther,82226474,,2006-02-10 00:00:00,92,PG,Comedy
506,41894100,,70000000,"['Steve Martin', 'Jean Reno', 'Emily Mortimer', 'Andy Garcia', 'Alfred Molina', 'Aishwarya Rai']",Harald Zwart,,Robert Simonds,Christophe Beck,The Pink Panther,The Pink Panther 2,35922978,,2009-02-06 00:00:00,92,PG,Action Comedy
507,138191900,,,,,,,,The Pink Panther,The Pink Panther Strikes Again,33833201,,1976-12-15 00:00:00,103,PG,Comedy
510,25949100,,,,Blake Edwards,,,,The Pink Panther,Trail of the Pink Panther,9056073,,1982-12-17 00:00:00,97,PG,Comedy
560,66935100,,3000000,"['Ethan Hawke', 'Lena Headey']",James DeMonaco,James DeMonaco,,Nathan Whitehead,The Purge,The Purge,64473115,,2013-06-07 00:00:00,85,R,Thriller
559,77484700,,9000000,"['Keith Stanfield', 'Michael K. Williams', 'Frank Grillo', 'Zach Gilford']",James DeMonaco,James DeMonaco,,Nathan Whitehead,The Purge,The Purge: Anarchy,71962800,,2014-07-18 00:00:00,103,R,Thriller
561,,,10000000,,,,,,The Purge,The Purge: Election Year,,,2016-07-01 00:00:00,,Not Yet Rated,Thriller
599,300212900,,22000000,,,,Jeffrey Silver,,The Santa Clause,The Santa Clause,144833357,,1994-11-11 00:00:00,97,PG,Family Comedy
600,208175600,,65000000,,Michael Lembeck,,Jeffrey Silver,,The Santa Clause,The Santa Clause 2,139236327,,2002-11-01 00:00:00,105,G,Family Comedy
601,112145000,,,"['Tim Allen', 'Abigail Breslin']",Michael Lembeck,,Jeffrey Silver,,The Santa Clause,The Santa Clause 3: The Escape Clause,84500122,,2006-11-03 00:00:00,98,G,Family Comedy
637,,,,"['Demi Lovato (Voice)', 'Joe Manganiello (Voice)', 'Jack McBrayer (Voice)', 'Mandy Patinkin (Voice)', 'Rainn Wilson (Voice)', 'Rainn Wilson']",Kelly Asbury,Karey Kirkpatrick,Jordan Kerner,,The Smurfs,Smurfs: The Lost Village,,,2017-04-07 00:00:00,,Not Yet Rated,Animation
