date,speaker,url,party,state,topic
2015-01-07,DAINES,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S40-2,R,MT,unknown
2015-01-07,DAINES,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S40-2,R,MT,unknown
2015-01-07,BROWN,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S50-1,D,OH,unknown
2015-01-07,BROWN,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S51-1,D,OH,biodiesel
2015-01-07,BROWN,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S51-1,D,OH,biodiesel
2015-01-07,CASEY,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S51-2,not found,not found,biodiesel
2015-01-07,CASEY,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S51-2,not found,not found,biodiesel
2015-01-07,CASEY,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S51-2,not found,not found,biodiesel
2015-01-07,DURBIN,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S53-1,D,IL,violent extreamism
2015-01-07,DURBIN,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S53-1,D,IL,violent extreamism
2015-01-07,SCOTT,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S53-2,R,SC,unknown
2015-01-07,GILLIBRAND,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S54-1,D,NY,unknown
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S57-1,I,ME,keystone pipeline
2015-01-07,BOOKER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S60-1,D,NJ,unknown
2015-01-07,BOOKER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S60-1,D,NJ,unknown
2015-01-07,BOOKER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S60-1,D,NJ,unknown
2015-01-07,BOOKER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S60-1,D,NJ,unknown
2015-01-07,BOOKER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S60-1,D,NJ,unknown
2015-01-07,BOOKER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S60-1,D,NJ,unknown
2015-01-07,BOOKER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S60-1,D,NJ,unknown
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S66-1,I,ME,Veterans benefits
2015-01-07,KING,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S66-1,I,ME,Veterans benefits
2015-01-07,DURBIN,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S66-2,D,IL,opioid epidemic
2015-01-07,VITTER,http://www.congress.gov/congressional-record/2015/01/07/senate-section/article/S66-3,R,LA,unknown
2015-01-08,DURBIN,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S69-5,D,IL,drones
2015-01-08,DURBIN,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S69-5,D,IL,drones
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
2015-01-08,FISCHER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S72-2,R,NE,unknown
