title,party,state
Patrick Leahy,D,VT
Orrin Hatch,R,UT
Max Baucus,D,MT
Thad Cochran,R,MS
Carl Levin,D,MI
Chuck Grassley,R,IA
John Kerry,D,MA
Tom Harkin,D,IA
Mitch McConnell,R,KY
Jay Rockefeller,D,WV
Barbara Mikulski,D,MD
Richard Shelby,R,AL
John McCain,R,AZ
Harry Reid,D,NV
Dianne Feinstein,D,CA
Barbara Boxer,D,CA
Patty Murray,D,WA
Jim Inhofe,R,OK
Ron Wyden,D,OR
Pat Roberts,R,KS
Richard Durbin,D,IL
Tim Johnson,D,SD
Jack Reed,D,RI
Mary Landrieu,D,LA
Jeff Sessions,R,AL
Susan Collins,R,ME
Mike Enzi,R,WY
Chuck Schumer,D,NY
Mike Crapo,R,ID
Bill Nelson,D,FL
Tom Carper,D,DE
Debbie Stabenow,D,MI
Maria Cantwell,D,WA
John Cornyn,R,TX
Lisa Murkowski,R,AK
Frank Lautenberg,D,NJ
Saxby Chambliss,R,GA
Lindsey Graham,R,SC
Lamar Alexander,R,TN
Mark Pryor,D,AR
Richard Burr,R,NC
Tom Coburn,R,OK
John Thune,R,SD
Johnny Isakson,R,GA
David Vitter,R,LA
Bob Menendez,D,NJ
Ben Cardin,D,MD
Bernie Sanders,I,VT
Sherrod Brown,D,OH
"Bob Casey, Jr.",D,PA
Bob Corker,R,TN
Claire McCaskill,D,MO
Amy Klobuchar,D,MN
Sheldon Whitehouse,D,RI
Jon Tester,D,MT
John Barrasso,R,WY
Roger Wicker,R,MS
Mark Udall,D,CO
Tom Udall,D,NM
Mike Johanns,R,NE
Jeanne Shaheen,D,NH
Mark Warner,D,VA
Jim Risch,R,ID
Kay Hagan,D,NC
Jeff Merkley,D,OR
Mark Begich,D,AK
Michael Bennet,D,CO
Kirsten Gillibrand,D,NY
Al Franken,D,MN
Joe Manchin,D,WV
Chris Coons,D,DE
Mark Kirk,R,IL
Dan Coats,R,IN
Roy Blunt,R,MO
Jerry Moran,R,KS
Rob Portman,R,OH
John Boozman,R,AR
Pat Toomey,R,PA
John Hoeven,R,ND
Marco Rubio,R,FL
Ron Johnson,R,WI
Rand Paul,R,KY
Richard Blumenthal,D,CT
Michael S. Lee,R,UT
Kelly Ayotte,R,NH
Dean Heller,R,NV
Brian Schatz,D,HI
Tim Scott,R,SC
Tammy Baldwin,D,WI
Jeff Flake,R,AZ
Joe Donnelly,D,IN
Chris Murphy,D,CT
Mazie Hirono,D,HI
Martin Heinrich,D,NM
Angus King,I,ME
Tim Kaine,D,VA
Ted Cruz,R,TX
Elizabeth Warren,D,MA
Deb Fischer,R,NE
Heidi Heitkamp,D,ND
Mo Cowan,D,MA
Jeffrey Chiesa,R,NJ
Ed Markey,D,MA
Cory Booker,D,NJ
John Walsh,D,MT
